Precio,Talla,Valor,Modelo,Link,Fecha_publicacion,Tienda,Marca,Descuento_%,Tiene_44.5/45,Vendedor,SKU,Imagen,Disponible,Fecha_actualizacion,Precio_min_historico,Fecha_min_historico,Precio_anterior,Variacion_$,Es_minimo_historico,Dias_seguimiento,Modelo_clave
62990,"38, 39.5, 40, 40.5, 41, 41.5, 42, 42.5, 43, 43.5, 44, 44.5",62990,Zapatillas Revolution 8 Azul Hombre,https://www.falabella.com/falabella-cl/product/151164054/zapatillas-nike-revolution-8-azul-hombre,2026-08-05,Falabella,NIKE,,Si,Tienda Oficial Nike,151164054,https://media.falabella.com/falabellaCL/151164060_01/public,Si,2026-09-17T16:24:41,62990,2026-08-05,,,No,43,nike|8 revolution
84990,s/info,41990,Gc Alpha Sk8 Zapatilla Urbana Hombre Cuero Beige,https://www.falabella.com/falabella-cl/product/80659341/gc-alpha-sk8-zapatilla-urbana-hombre-cuero-beige-adidas,2026-08-14,Falabella,ADIDAS,51,No,Falabella,80659341,https://media.falabella.com/falabellaCL/80659714_1/public,Si,2026-09-17T16:24:41,41990,2026-08-18,58990,-17000,Si,34,adidas|alpha cuero gc sk8
59990,s/info,29990,X_PLRPATH Zapatilla Urbana Hombre Gris,https://www.falabella.com/falabella-cl/product/80659356/xplrpath-zapatilla-urbana-hombre-gris-adidas,2026-07-02,Falabella,ADIDAS,50,No,Falabella,80659356,https://media.falabella.com/falabellaCL/80659839_1/public,Si,2026-09-17T16:24:41,29990,2026-07-02,41990,-12000,Si,77,adidas|plrpath
69990,s/info,34990,VL Court 3.0 Zapatilla Urbana Hombre Cuero Azul,https://www.falabella.com/falabella-cl/product/80659328/vl-court-3-0-zapatilla-urbana-hombre-cuero-azul-adidas,2026-08-05,Falabella,ADIDAS,50,No,Falabella,80659328,https://media.falabella.com/falabellaCL/80659606_1/public,Si,2026-09-17T16:24:41,34990,2026-08-05,69990,-35000,Si,43,adidas|3.0 court cuero vl
59990,s/info,34990,X_PLRPATH Zapatilla Urbana Hombre Azul,https://www.falabella.com/falabella-cl/product/80478871/X_PLR-Path-Zapatilla-Urbana-Hombre-Negro-Adidas,2026-09-01,Falabella,ADIDAS,42,No,Falabella,80478871,https://media.falabella.com/falabellaCL/80478903_1/public,Si,2026-09-17T16:24:41,34990,2026-09-13,41990,-7000,Si,16,adidas|plrpath
59990,s/info,34990,X_PLRPATH Zapatilla Urbana Hombre Gris,https://www.falabella.com/falabella-cl/product/80483623/xplrpath-zapatilla-urbana-hombre-gris-adidas,2026-07-22,Falabella,ADIDAS,42,No,Falabella,80483623,https://media.falabella.com/falabellaCL/80483656_1/public,Si,2026-09-17T16:24:41,34990,2026-09-17,41990,-7000,Si,57,adidas|plrpath
99990,s/info,69990,Air Max Bia Zapatilla Urbana Hombre Negro,https://www.falabella.com/falabella-cl/product/80739858/air-max-bia-zapatilla-urbana-hombre-negro-nike,2026-07-02,Falabella,NIKE,30,No,Falabella,80739858,https://media.falabella.com/falabellaCL/80740087_1/public,Si,2026-09-17T16:24:41,69990,2026-07-08,99990,-30000,Si,77,nike|air bia max
112990,s/info,78990,Air Winflo 12 Zapatilla Running Hombre Amarillo,https://www.falabella.com/falabella-cl/product/80739862/air-winflo-12-zapatilla-running-hombre-amarillo-nike,2026-07-09,Falabella,NIKE,30,No,Falabella,80739862,https://media.falabella.com/falabellaCL/80740121_1/public,Si,2026-09-17T16:24:41,78990,2026-07-09,112990,-34000,Si,70,nike|12 air winflo
74990,s/info,36990,Gradas Zapatilla Urbana Hombre Cuero Blanco,https://www.falabella.com/falabella-cl/product/80512565/gradas-zapatilla-urbana-hombre-cuero-blanco-adidas,2026-07-31,Falabella,ADIDAS,51,No,Falabella,80512565,https://media.falabella.com/falabellaCL/80513250_1/public,Si,2026-09-17T16:24:41,36990,2026-07-31,,,No,48,adidas|cuero gradas
74990,s/info,36990,VL Court FC Zapatilla Urbana Hombre Cuero Negro,https://www.falabella.com/falabella-cl/product/80659314/Vl-Court-Fc-Zapatilla-Urbana-Hombre-Cuero-Negro-Adidas,2026-08-22,Falabella,ADIDAS,51,No,Falabella,80659314,https://media.falabella.com/falabellaCL/80659494_1/public,Si,2026-09-17T16:24:41,36990,2026-08-22,,,No,26,adidas|court cuero fc vl
